phrases
13-05
08-01
12-01
NavICGAGAN Utilization Programme
INSAT Coordination Committee
APEX Science Board ASB
ISRO Headquarters
Indian Space Programme
Centralised Induction Training Programme
ISRO Technical Standards ITecS
ISRO Centres
Non Conformances
Iraqi News Agency
Space Shuttle
Virgin Galactic
Sierra Nevadahave
North Korea
Kawasaki Heavy Industries
Justspace Alliance
Project Mercury
Roscosmos State Corporation
Space Task Group
Sally Ride
Shenzhou 5
Buzz Aldrin
Command Module
Michael Collins
Jack Swigert
Fred Haisesurvived
Japanese Rocket Society
Alexei Leonov on Voskhod II
Soyuz 19
Jim Lovell
Dr K Sivan
Mangalyaan II
Thoothukudi Tamil Nadu
Tamil Nadu
Kalpathi Ramakrishna
Mark III
Independence Day
LEO Which
Cyg X1
Moon Which
Satish Dhawan
Indian National Satellite INSAT
Telecommunication India
I1K
Indian Natural Resource Management
Regional Remote Sensing Service Centres
Remote Sensing Application Centres
Development of Payload and Design Fabrication of Satellite
Indian Ocean Region
Sriharikota Spaceport
Science Technology About Organisation unk
Bengaluru Karnataka
Manzinus C
Simpelius N
North American
Manmohan Singh
American Institute of Aeronautics and Astronautics AIA
U Th
North and South Polar Regions
Ray Spectrometer
Lunar Transfer Trajectory
Dhawan Space Centre
ESA ES
RSR Programme
C Extended C
Indian Mini Satellite II IMSII
Augmented SLV
Reliable Position Navigation and Timing
Indian Satellite
an Air Breathing Propulsion System
Narendra Modi
Indian Constellation
Lander Craft
Satellite Based Navigation
Indian Airspace
Sat Nav
Center for Space Science and Technology Education
